Designator,Footprint,Quantity,Value,LCSC Part #
CN1,NUCLEO-G474RE,1,NUCLEO (STM32G474RET6),
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Steer_FL,
J10,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Jetson,
J11,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RF,
J12,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RS485,
J13,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Lamp_F,
J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Lamp_B,
J15,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor_FL,
J16,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor_BL,
J17,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor_FR,
J18,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Motor_BR,
J19,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Power,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Steer_BL,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Steer_FR,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Steer_BR,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Body_FL,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Body_BL,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Body_FR,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Body_BR,
J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Debug,
