Designator,Mid X,Mid Y,Rotation,Layer
CN1,65.30405,-54.740011,90.0,top
J1,30.0627,-97.350461,0.0,top
J10,102.3527,-97.350461,0.0,top
J11,86.25,-109.542461,0.0,top
J12,86.25,-97.350461,0.0,top
J13,68.0427,-109.542461,0.0,top
J14,68.0427,-97.350461,0.0,top
J15,69.332,-121.226461,0.0,top
J16,69.332,-133.401461,0.0,top
J17,85.0,-121.226461,0.0,top
J18,85.0,-133.401461,0.0,top
J19,101.0957,-121.226461,0.0,top
J2,30.0697,-109.542461,0.0,top
J3,48.9927,-97.350461,0.0,top
J4,48.9927,-109.542461,0.0,top
J5,30.0627,-121.226461,0.0,top
J6,30.0627,-133.401461,0.0,top
J7,48.9857,-121.226461,0.0,top
J8,48.9857,-133.401461,0.0,top
J9,102.362,-109.584,0.0,top
