<p><br /></p>
"Date","Activity","Notes"
"2024/10/14   ","Kedatangan Kiki dan Adrian ke RespatiBriefing dengan Pak DhitaObservasi dan disuksi sistem"
"2024/10/15","Desain kontrol pakai satu controller (STM32H723xxx)Wiring dan tes 4 motor BLDC (jalan dan tidak sinkron)Riset RS485 ( register control berbeda, opsi kontrol pakai modbus RS485 tidak memungkinkan)buat framework komunikasi tab - jetson - controller","RPM max : 2650 (upper limit 4.8V)RPM min : 1670 (upper limit 3.3V)data sheet tidak lengkap, sinyal kontrolnya di tolak karena tidak sesuai sehingga kontrol pakai rs485 tidak bisa "
"2024/10/16","sinkronisasi dalam menggerakkan motor (bisa bergerak dan sinkron semua)riset BTS untuk linear motorinstalasi ros2 foxy di tab dan jetson","ganti upper limit semua motor di 3.3Vsudah coba test drive(maju 4 roda aman, mendaki dan belok tanpa motor linear kesulitanboard sedang dirakit dan mapping pinout controllerros baru bisa komunikasi antara tab dan jetson"
"2024/10/17","kontrol motor linear driving depan dan belakang (aman)kontrol maju mundur dan 3 mode pakai ros dan serial (aman)","hardware untuk 4 motor linear dan 4 brushles aman"
"2024/10/18","Demo depan TNIBuat dokumentasi ROSBaca pantiltskematik hardwarerapihin hardware ---> skematik","target minggu depan steeringmenagih kembali objective maju,mundur dan steering"
"2024/10/21","pasang braket akrilik ke motor driverwiring kabelganti dan memasukan aki ke dalam robot","penataan elektronika belum rapihkendala di penempatan elektronika"
"2024/10/22","wiring kabelwiring BTS7960coba mekanisme elevasi","masih POC jadi wiring kabel masih belum rapielevasi oke, steering oke, maju mundur oke (tahap POC)"
"2024/10/23 ","merapihkan wiring dengan membuat board STMboard elevasiboard motor utama (BLDC)membuat konektor BTS7960","terkendala di kerapihan wiringpemilihan pin PWM"
"2024/10/24","board elevasiboard motor utama (BLDC)membuat konektor BTS7960mencoba pin steering di board baru","sudah lebih better dan lebih rapi, karena menggunakan board baru (board POC)pemilihan pin PWM dan UART"
"2024/10/25","demo day (demo depan TNI)dmeo maju,mundur,steeringdemo kontrol aktuator via wifi dengan tablet (ROS)","elevasi masih belum diintegrasikan di boardkonflik pin PWM dengan UARTkendala wiring,konektor, dan kabel yang suka putus sehingga elevasi belum sempat terkejar"
"2024/10/28","merapihkan peletakkan elektronikamenjalankan steering,elevasi, dan BLDC maju mundur dengan wifi di tablet (ROS)","finishingsemua objective sudah selesai"
"2024/10/29","uji objective robot diluar","di medan yang berbeda (tidak rata) torsi robot tidak mampu untuk maju/mundur (harus didorong)steering tidak sinkronrobot tidak bisa maju mundur ketika steering (kanan/kiri), alasannya dikarenakan tanah tidak rata, ban tidak sinkron sudut dan arahnyarobot ketika dinaikan (elevasinya) pergerakan robot sedikit lebih ringan (asumsi ketika kakinya memendek kebutuhan torsi juga mengecil , karena sebelumnya kebutuhan torsi yang tinggi dikarenakan jarak roda ke poros cukup jauh) jadi torsi dipengaruhi oleh jarak roda ke poros robotwifi lemot jadi kendala pengiriman data (perintah jadi delay)"
"2024/10/30","error handling","melakukan break otomatis ketika robot sudah tidak terkoneksi dengan wifi / jaringan internet"
